unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1.56E+12,12-06-2019,BTC,7993.57,8290.2,7911.2,8126.23,1615.425857,13127322.06
1.56E+12,11-06-2019,BTC,7971.16,8082.06,7710.12,7993.57,1279.464558,10227489.51
1.56E+12,10-06-2019,BTC,7666.31,8095.19,7624.41,7971.16,1375.477603,10964152.05
1.56E+12,09-06-2019,BTC,7899.5,7942.44,7510,7666.31,627.1226747,4807716.832
1.56E+12,08-06-2019,BTC,7954.01,8028.23,7787.78,7899.5,397.3274374,3138688.092
1.56E+12,07-06-2019,BTC,7807.85,8130,7776.38,7954.01,1702.904928,13544922.83
1.56E+12,06-06-2019,BTC,7864.04,7865.55,7450,7807.85,1362.703217,10639782.31
1.56E+12,05-06-2019,BTC,7793.78,7923.98,7570.65,7864.04,1622.57671,12760008.15
1.56E+12,04-06-2019,BTC,7889,8016.26,7440.83,7793.78,3832.722301,29871394.42
1.56E+12,03-06-2019,BTC,8678.7,8694.6,7698.16,7889,5816.06802,45882960.61
1.56E+12,02-06-2019,BTC,8566.07,8831.69,8563.23,8678.7,670.9487704,5822963.094
1.56E+12,01-06-2019,BTC,8552.05,8621,8458.34,8566.07,627.9488792,5379054.055
1.56E+12,31-05-2019,BTC,8270,8562.64,8114.72,8552.05,2088.417336,17860249.47
1.56E+12,30-05-2019,BTC,8697.22,9094.51,8000,8270,4570.232879,37795825.91
1.56E+12,29-05-2019,BTC,8642.2,8760,8431.15,8697.22,2134.94976,18568127.76
1.56E+12,28-05-2019,BTC,8794.15,8809.51,8550,8642.2,2275.841847,19668280.41
1.56E+12,27-05-2019,BTC,8777.03,8932.99,8629.02,8794.15,1697.297105,14926285.34
1.56E+12,26-05-2019,BTC,8011.2,8946,7891.47,8777.03,3445.063728,30237427.69
1.56E+12,25-05-2019,BTC,8012,8149.5,7947.79,8011.2,592.9438631,4750191.876
1.56E+12,24-05-2019,BTC,7877.36,8180,7800,8012,1578.21702,12644674.76
1.56E+12,23-05-2019,BTC,7671.41,7983.03,7470.9,7877.36,1711.706592,13483729.04
1.56E+12,22-05-2019,BTC,7934.14,8044.08,7504,7671.41,2362.414326,18123048.88
1.56E+12,21-05-2019,BTC,7935.21,8111.32,7809.64,7934.14,1741.307613,13815778.38
1.56E+12,20-05-2019,BTC,8056.93,8155.27,7576.35,7935.21,3098.639542,24588355.48
1.56E+12,19-05-2019,BTC,7949.2,8304.56,7797.74,8056.93,2651.584435,21363630.18
1.56E+12,18-05-2019,BTC,7388.93,7969.44,7210.98,7949.2,1783.036783,14173716
1.56E+12,17-05-2019,BTC,7295.47,7447,6883.83,7388.93,3624.826436,26783588.8
1.56E+12,16-05-2019,BTC,8247.34,8249.79,6630.41,7295.47,8230.77162,60047347.43
1.56E+12,15-05-2019,BTC,8057.12,8380,7840.82,8247.34,3575.733656,29490291.21
1.56E+12,14-05-2019,BTC,7973.21,8342,7625,8057.12,4950.770406,39888951.26
1.56E+12,13-05-2019,BTC,7009.43,8170,6993.76,7973.21,8414.882111,67093622.2
1.56E+12,12-05-2019,BTC,7153.05,7578.83,6760,7009.43,7753.26039,54345935.97
1.56E+12,11-05-2019,BTC,6554.27,7445.45,6525.52,7153.05,7639.257804,54643993.04
1.56E+12,10-05-2019,BTC,6281.32,6572.58,6212.91,6554.27,3276.168776,21472894.72
1.56E+12,09-05-2019,BTC,6038.48,6317.76,5960.44,6281.32,2261.137211,14202926.38
1.56E+12,08-05-2019,BTC,5783.46,6093.96,5783.46,6038.48,1864.592718,11259305.84
1.56E+12,07-05-2019,BTC,5889.08,5969.51,5653.65,5783.46,2927.427001,16930656.96
1.56E+12,06-05-2019,BTC,5628.8,5961.98,5570,5889.08,1690.804955,9957285.647
1.56E+12,05-05-2019,BTC,5762.35,5776.55,5570.01,5628.8,875.5384155,4928230.633
1.56E+12,04-05-2019,BTC,5738.95,5837.2,5511.01,5762.35,1653.720589,9529316.835
1.56E+12,03-05-2019,BTC,5464.33,5820,5454.33,5738.95,3164.623657,18161616.94
1.56E+12,02-05-2019,BTC,5330.5,5479,5306.95,5464.33,2008.222844,10973592.33
1.56E+12,01-05-2019,BTC,5316.97,5358.3,5280,5330.5,1206.71481,6432393.296
1.56E+12,30-04-2019,BTC,5153.63,5340.48,5133.08,5316.97,1802.272327,9582627.896
1.56E+12,29-04-2019,BTC,5176.38,5189.14,5071.48,5153.63,1193.555732,6151144.626
1.56E+12,28-04-2019,BTC,5175,5213.66,5103.74,5176.38,516.3599921,2672875.536
1.56E+12,27-04-2019,BTC,5147.94,5217.4,5119.47,5175,791.8476111,4097811.388
1.56E+12,26-04-2019,BTC,5205.05,5237.03,5046.15,5147.94,1973.842561,10161223.07
1.56E+12,25-04-2019,BTC,5438.64,5515.4,4976.13,5205.05,4518.002294,23516427.84
1.56E+12,24-04-2019,BTC,5576.99,5624.58,5376.53,5438.64,2578.92345,14025836.23
1.56E+12,23-04-2019,BTC,5433.01,5643.97,5433.01,5576.99,4104.682245,22891771.84
1.56E+12,22-04-2019,BTC,5262.39,5448.07,5262.39,5433.01,1770.199851,9617513.493
1.56E+12,21-04-2019,BTC,5334.33,5335,5215.53,5262.39,657.3233028,3459091.576
1.56E+12,20-04-2019,BTC,5306,5358.02,5265.78,5334.33,609.9955368,3253917.492
1.56E+12,19-04-2019,BTC,5231.87,5358.64,5224.43,5306,934.4704283,4958300.093
1.56E+12,18-04-2019,BTC,5273.99,5315.48,5197.38,5231.87,1590.553498,8321569.132
1.56E+12,17-04-2019,BTC,5230,5285.3,5177.37,5273.99,2360.440538,12448939.79
1.56E+12,16-04-2019,BTC,5055.08,5271.87,5023.39,5230,2420.033868,12656777.13
1.56E+12,15-04-2019,BTC,5161.4,5190,4950,5055.08,2322.91165,11742504.23
1.56E+12,14-04-2019,BTC,5056.54,5187.94,5017,5161.4,1383.141515,7138946.615
1.56E+12,13-04-2019,BTC,5110.99,5141.742,5038.09,5056.54,1616.010682,8171422.654
1.56E+12,12-04-2019,BTC,5026.54,5117.06,5005.08,5110.99,2646.55481,13526515.17
1.55E+12,11-04-2019,BTC,5195.41,5233.48,4903.64,5026.54,4477.556156,22506615.12
1.55E+12,10-04-2019,BTC,5223.45,5471.14,5158.2,5195.41,4384.073102,22777057.24
1.55E+12,09-04-2019,BTC,5240.82,5254.66,5147.16,5223.45,3060.535186,15986552.52
1.55E+12,08-04-2019,BTC,5250,5318.25,5132.26,5240.82,2472.92318,12960145.26
1.55E+12,07-04-2019,BTC,5126.6,5350,5052.79,5250,2132.54517,11195862.14
1.55E+12,06-04-2019,BTC,5003.89,5239.4,4892.5,5126.6,2458.073991,12601562.12
1.55E+12,05-04-2019,BTC,4896.13,5067.41,4894.61,5003.89,2868.039484,14351354.09
1.55E+12,04-04-2019,BTC,4968.09,5064.09,4782.47,4896.13,2845.059756,13929782.42
1.55E+12,03-04-2019,BTC,5055,5346.68,4800,4968.09,11075.07962,55021992.31
1.55E+12,02-04-2019,BTC,4175.91,5090.62,4172.26,5055,12285.82555,62104848.14
1.55E+12,01-04-2019,BTC,4130.21,4180.76,4108.57,4175.91,2862.90549,11955235.66
1.55E+12,31-03-2019,BTC,4084.4,4137.56,4052.49,4130.21,834.566633,3446935.453
1.55E+12,30-03-2019,BTC,4088.03,4102.91,4037.28,4084.4,633.0603739,2585671.791
1.55E+12,29-03-2019,BTC,4023.05,4129.49,4007.71,4088.03,1925.588526,7871863.664
1.55E+12,28-03-2019,BTC,4004.04,4030.8,3995,4023.05,1340.726695,5393810.529
1.55E+12,27-03-2019,BTC,3976.53,4034,3971.93,4004.04,2181.989664,8736773.894
1.55E+12,26-03-2019,BTC,3912.29,3978.98,3882.92,3976.53,1793.881436,7133423.348
1.55E+12,25-03-2019,BTC,3977.07,4034.13,3858.55,3912.29,2367.079879,9260702.939
1.55E+12,24-03-2019,BTC,3969.77,3979.71,3947,3977.07,771.5131333,3068361.737
1.55E+12,23-03-2019,BTC,3996.5,4000.5,3960,3969.77,920.9805082,3656080.792
1.55E+12,22-03-2019,BTC,3975.06,3999.73,3963.88,3996.5,953.8558549,3812084.924
1.55E+12,21-03-2019,BTC,4030.64,4059.37,3915.09,3975.06,2608.601483,10369347.41
1.55E+12,20-03-2019,BTC,3976.4,4048.85,3965.82,4030.64,2351.626699,9478560.639
1.55E+12,19-03-2019,BTC,3975.98,4017.86,3951.66,3976.4,1952.91042,7765552.993
1.55E+12,18-03-2019,BTC,3986.91,3993.43,3936.36,3975.98,1990.540631,7914349.74
1.55E+12,17-03-2019,BTC,3956.31,4015.85,3930.06,3986.91,550.4956951,2194776.792
1.55E+12,16-03-2019,BTC,3954.68,4037.02,3937.69,3956.31,1544.962375,6112350.093
1.55E+12,15-03-2019,BTC,3859.61,3965.67,3847.95,3954.68,2420.340892,9571673.717
1.55E+12,14-03-2019,BTC,3851.21,3900,3785,3859.61,2701.975232,10428570.63
1.55E+12,13-03-2019,BTC,3868.99,3869.99,3826,3851.21,2098.024258,8079932.003
1.55E+12,12-03-2019,BTC,3808.53,3876.22,3800,3868.99,1978.641692,7655344.919
1.55E+12,11-03-2019,BTC,3908.34,3908.34,3800.31,3808.53,2087.610225,7950726.171
1.55E+12,10-03-2019,BTC,3902.74,3910.46,3870,3908.34,683.7439593,2672303.866
1.55E+12,09-03-2019,BTC,3854.39,3947.88,3850,3902.74,889.0646408,3469788.136
1.55E+12,08-03-2019,BTC,3854.94,3910,3771.78,3854.39,2669.600138,10289680.08
1.55E+12,07-03-2019,BTC,3872.41,3889.72,3829.54,3854.94,1654.903037,6379551.914
1.55E+12,06-03-2019,BTC,3815.83,3893.29,3811.16,3872.41,2619.856899,10145160.05
1.55E+12,05-03-2019,BTC,3696.76,3876.59,3695,3815.83,3046.515587,11624985.57
1.55E+12,04-03-2019,BTC,3782.93,3782.93,3675,3696.76,1823.658766,6741628.779
1.55E+12,03-03-2019,BTC,3810.32,3815.91,3761.95,3782.93,650.938062,2462453.123
1.55E+12,02-03-2019,BTC,3817.51,3818.52,3761.02,3810.32,605.8974487,2308663.167
1.55E+12,01-03-2019,BTC,3804.83,3843.78,3793.37,3817.51,1585.825345,6053904.112
1.55E+12,28-02-2019,BTC,3800.68,3912.16,3752.05,3804.83,3626.306154,13797478.44
1.55E+12,27-02-2019,BTC,3801.69,3820.28,3650.8,3800.68,2970.956221,11291653.89
1.55E+12,26-02-2019,BTC,3825.76,3826.93,3764.95,3801.69,1872.346842,7118082.268
1.55E+12,25-02-2019,BTC,3778.81,3859.17,3746.01,3825.76,1977.187198,7564243.696
1.55E+12,24-02-2019,BTC,4161.07,4167.24,3715.51,3778.81,5815.075094,21974063.92
1.55E+12,23-02-2019,BTC,3944.14,4186.99,3914.25,4161.07,2602.52647,10829294.82
